author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Sminex,developer,https://www.cian.ru/sale/flat/293713671/,Москва,sale,flat,2,14,1,72.6,-1,0,133260000.0,Якиманка,,,Полянка,Лаврушинский ЖК
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932847/,Москва,sale,flat,10,14,1,65.2,-1,0,35000000.0,Мещанский, Гиляровского,50,Проспект Мира,
MR Group,developer,https://www.cian.ru/sale/flat/301575583/,Москва,sale,flat,4,13,1,68.62,-1,0,86856437.0,Мещанский,м. Цветной бульвар,,Цветной бульвар,Клубный дом Forum
Voller.one,real_estate_agent,https://www.cian.ru/sale/flat/297643594/,Москва,sale,flat,11,21,1,43.6,-1,0,18000000.0,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
VESPER,developer,https://www.cian.ru/sale/flat/287317369/,Москва,sale,flat,5,21,1,65.9,-1,0,78259545.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298474072/,Москва,sale,flat,23,23,1,54.0,-1,0,29000000.0,Хорошево-Мневники, Нижние Мневники,9,Терехово ,Остров
MR Group,developer,https://www.cian.ru/sale/flat/299093496/,Москва,sale,flat,18,41,1,37.7,-1,0,24335267.0,Даниловский,Дубининская ,59к7,Павелецкая,Павелецкая Сити
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478863/,Москва,sale,flat,37,37,1,48.0,-1,0,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Absolute Premium,developer,https://www.cian.ru/sale/flat/299898685/,Москва,sale,flat,5,18,1,49.8,-1,0,49737000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
Unique,real_estate_agent,https://www.cian.ru/sale/flat/287678758/,Москва,sale,flat,4,26,1,46.0,-1,0,32000000.0,Очаково-Матвеевское,Нежинская ,5к2,Давыдково,Городские резиденции SPIRES
MR Group,developer,https://www.cian.ru/sale/flat/300288766/,Москва,sale,flat,40,54,1,29.14,-1,0,17858691.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298210838/,Москва,sale,flat,13,44,1,60.9,-1,0,25500000.0,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
Tekta Group,developer,https://www.cian.ru/sale/flat/301260582/,Москва,sale,flat,14,27,1,28.1,-1,0,19203540.0,Даниловский,,,Серпуховская,Era
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000.0,, Медовая Долина,2,Санино,Баркли Медовая долина
Sminex,developer,https://www.cian.ru/sale/flat/297972137/,Москва,sale,flat,2,5,1,54.7,-1,0,126110000.0,Тверской,,,Площадь Революции,Ильинка 3/8 ЖК
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/293760838/,Москва,sale,flat,18,48,1,42.4,-1,0,19450000.0,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934983/,Москва,sale,flat,3,13,1,56.33,-1,0,24914759.0,,,В21 кв-л,Опалиха,Сберсити ЖК
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298087113/,Москва,sale,flat,4,46,1,39.7,-1,0,19000000.0,Обручевский, Академика Волгина,2С2,Калужская,Архитектор
Главстрой,developer,https://www.cian.ru/sale/flat/298342641/,Москва,sale,flat,2,20,1,42.3,-1,0,21645206.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ID 413522,realtor,https://www.cian.ru/sale/flat/301734970/,Москва,sale,flat,6,12,1,59.2,-1,0,68000000.0,Раменки,Мосфильмовская ,1сА,Ломоносовский проспект,Вишневый сад
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299137613/,Москва,sale,flat,4,12,1,45.87,-1,0,22499235.0,,,В19 кв-л,Павшино,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299888104/,Москва,sale,flat,44,65,1,52.0,-1,0,44000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
Hutton Development,developer,https://www.cian.ru/sale/flat/293911220/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,94392000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297087850/,Москва,sale,flat,51,75,1,123.0,-1,0,99000000.0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр,Меркурий Тауэр
ЭЛИТА-ЭКО,developer,https://www.cian.ru/sale/flat/292406316/,Москва,sale,flat,2,14,1,30.45,-1,0,29201550.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
ID 73038306,real_estate_agent,https://www.cian.ru/sale/flat/301616082/,Москва,sale,flat,4,9,1,30.1,-1,0,12200000.0,Перово,2-я Владимирская ,3,Перово,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298849163/,Москва,sale,flat,3,10,1,45.5,-1,0,23132200.0,,,В14 кв-л,Павшино,Сберсити ЖК
RND,real_estate_agent,https://www.cian.ru/sale/flat/300549135/,Москва,sale,flat,8,11,1,46.4,-1,0,46000000.0,Дорогомилово,Кутузовский проспект,12,Киевская,Кутузовский XII
Sminex,developer,https://www.cian.ru/sale/flat/300266286/,Москва,sale,flat,3,14,1,51.4,-1,0,50980000.0,Пресненский,Электрический переулок,1с22,Белорусская,Квартал Тишинский бульвар
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/301837625/,Москва,sale,flat,7,12,1,35.0,-1,0,11000000.0,Лучшая просторная 1 к.кв. в е!1-комн. квартира,35 м²,,,
COLDY,developer,https://www.cian.ru/sale/flat/297997304/,Москва,sale,flat,-1,-1,-1,202.0,-1,0,183834633.0,Хамовники,переулок 1-й Тружеников,12,Киевская,Хамовники 12
Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/299330003/,Москва,sale,flat,63,66,1,86.0,-1,0,96000000.0,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
