author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Трансстройинвест,developer,https://www.cian.ru/sale/flat/299589652/,Москва,sale,flat,2,24,1,43.5,-1,0,17768630.0,Очаково-Матвеевское,Мичуринский проспект,72А,Озёрная,ОМ
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298210838/,Москва,sale,flat,13,44,1,60.9,-1,0,25500000.0,Хорошево-Мневники,к2/2,к2/2,Шелепиха,Сидней Сити ЖК
Группа Родина,developer,https://www.cian.ru/sale/flat/293200764/,Москва,sale,flat,6,13,1,33.9,-1,0,11048000.0,, 1-я Ватутинская,14к1,Ольховая,Russian Design District
SITRealty,real_estate_agent,https://www.cian.ru/sale/flat/300609717/,Москва,sale,flat,4,7,1,40.0,-1,0,9850000.0,, Медовая Долина,2,Санино,Баркли Медовая долина
Новые Ватутинки,developer,https://www.cian.ru/sale/flat/301563956/,Москва,sale,flat,7,12,1,43.8,-1,0,10218540.0,,,5/2,Аэропорт Внуково,"Новые Ватутинки, мкр. Заречный"
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/298087113/,Москва,sale,flat,4,46,1,39.7,-1,0,19000000.0,Обручевский, Академика Волгина,2С2,Калужская,Архитектор
А101,developer,https://www.cian.ru/sale/flat/296534525/,Москва,sale,flat,4,17,1,20.9,-1,0,7590237.0,,,7.1,Бунинская аллея,Бунинские Кварталы ЖК
ID 84856352,homeowner,https://www.cian.ru/sale/flat/301505612/,Москва,sale,flat,5,14,1,34.6,-1,0,13650000.0,Нагорный,Ялтинская ,8,Севастопольская,
А101,developer,https://www.cian.ru/sale/flat/291999825/,Москва,sale,flat,9,30,1,33.2,-1,0,9971764.0,Южное Бутово,м. Бунинская аллея,,Бунинская аллея,Южные Сады ЖК
Estes,real_estate_agent,https://www.cian.ru/sale/flat/300647536/,Москва,sale,flat,4,12,1,38.7,-1,0,12550000.0,Нагатино-Садовники,Коломенский проезд,14К1,Каширская,
Группа Аквилон,developer,https://www.cian.ru/sale/flat/301688418/,Москва,sale,flat,3,28,1,32.92,-1,0,11496421.0,Нижегородский,,,Нижегородская,Аквилон Бисайд 2.0 ЖК
do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300136415/,Москва,sale,flat,12,14,1,54.5,-1,0,35700000.0,Пресненский, Малая Грузинская,28,Краснопресненская,
А101,developer,https://www.cian.ru/sale/flat/292609319/,Москва,sale,flat,3,13,1,32.9,-1,0,9657426.0,,,,Прокшино,Прокшино ЖК
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313530/,Москва,sale,flat,12,17,1,41.6,-1,0,8900000.0,Косино-Ухтомский,Лухмановская ,15к4,Лухмановская,
